"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.568424477E0,-5.877352953E-1,-1.816177368E-1,4.844535589E-1,7.830153449E-1
3.587960154E0,-2.570707798E-1,-2.048311234E-1,1.024852991E-1,3.443027904E-1
3.607495831E0,-2.860293388E-1,1.162233353E-1,-3.780686855E-2,3.110466294E-1
3.627031456E0,-2.468518019E-1,1.688003540E-3,1.033186913E-2,2.470736914E-1
3.646567134E0,-1.163721085E-1,-1.153192520E-1,-8.145853877E-2,1.829658194E-1
3.666102811E0,-3.639338017E-1,3.512191772E-2,-6.179672480E-2,3.708101890E-1
3.685638488E0,-6.733543277E-1,1.974678040E-2,-1.788643599E-1,6.969852546E-1
3.705174165E0,-6.146040559E-1,2.944469452E-2,2.265198231E-1,6.556800788E-1
3.724709790E0,-4.468685389E-1,-4.430866241E-2,4.247857332E-1,6.181404919E-1
3.744245467E0,-1.149947643E-1,-2.238702774E-1,1.939268708E-1,3.177252400E-1
3.763781144E0,2.145947218E-1,1.043996811E-1,1.904022396E-1,3.052919928E-1
3.783316769E0,-3.322039843E-1,1.913223267E-1,-7.407525182E-2,3.904495649E-1
3.802852446E0,-8.048920631E-1,3.200826645E-1,-7.959881425E-2,8.698506289E-1
3.822388123E0,-9.141461849E-1,3.826427460E-1,-4.444020987E-2,9.919947836E-1
3.841923800E0,-5.258808136E-1,4.174966812E-1,1.096184850E-1,6.803457365E-1
3.861459425E0,-6.034742594E-1,9.614381790E-1,2.125829756E-1,1.154874918E0
3.880995102E0,-8.357261419E-1,1.903007507E0,9.498350322E-2,2.080600304E0
3.900517134E0,-1.010324121E0,2.726893425E0,-5.592821836E-1,2.961334014E0
3.920066404E0,-1.591271162E0,3.562549591E0,4.926889837E-1,3.932765685E0
3.939602081E0,-2.193570375E0,1.905602455E0,-7.483382225E-1,3.000513590E0
3.959137759E0,-1.924206257E0,1.182633400E0,-4.783234000E-1,2.308675974E0
3.978673384E0,-2.776851892E0,1.360533714E0,-5.222828984E-1,3.136038559E0
3.998209061E0,-1.443928242E0,1.383414268E0,3.176410496E-1,2.024761626E0
4.017731092E0,-4.750554562E-1,4.396839142E-1,6.954869628E-1,9.501061763E-1
4.037280363E0,-2.632761002E0,-2.654371262E-1,1.023011446E0,2.836977226E0
4.056816040E0,-5.489193439E0,-4.255161285E-1,2.440139949E-1,5.511066269E0
4.076338071E0,-7.161746979E0,-1.016196728E0,-9.319046140E-1,7.293265509E0
4.095887342E0,-8.126302719E0,-1.261767864E0,-6.369663477E-1,8.248307715E0
4.115423019E0,-6.062115669E0,-6.353912354E-1,-7.919507027E-1,6.146556298E0
4.134945050E0,-3.548789740E0,6.877279282E-1,-4.092338085E-1,3.637904703E0
